# Time (sec),Drain (A),Drain (V)
125.572,0.000554347,2.0
126.022,0.000554328,2.0
126.462,0.000554599,2.0
126.912,0.000554618,2.0
127.362,0.000554869,2.0
127.822,0.000554793,2.0
128.272,0.000554793,2.0
128.712,0.000555017,2.0
129.162,0.000554934,2.0
129.622,0.000554939,2.0
130.062,0.000554942,2.0
130.512,0.000555049,2.0
130.972,0.000555075,2.0
131.412,0.000555121,2.0
131.842,0.000554924,2.0
132.282,0.000554961,2.0
132.742,0.000555243,2.0
133.202,0.000555168,2.0
133.672,0.000555544,2.0
134.142,0.000555642,2.0
134.612,0.000555325,2.0
135.092,0.000555475,2.0
135.542,0.000555567,2.0
136.022,0.000555773,2.0
136.482,0.000555655,2.0
136.952,0.000555752,2.0
137.462,0.000555838,2.0
137.902,0.000555601,2.0
138.382,0.000555758,2.0
138.842,0.000555776,2.0
139.322,0.000555758,2.0
139.782,0.000555829,2.0
140.251,0.00055609,2.0
140.741,0.000556282,2.0
141.211,0.000556297,2.0
141.691,0.000556537,2.0
142.181,0.00055655,2.0
142.631,0.000556332,2.0
143.101,0.000556488,2.0
143.551,0.000556561,2.0
144.011,0.000556628,2.0
144.481,0.000556643,2.0
144.951,0.000556619,2.0
145.431,0.000556653,2.0
145.911,0.000556459,2.0
146.361,0.000556575,2.0
146.801,0.000556648,2.0
147.271,0.00055683,2.0
147.711,0.000556852,2.0
148.161,0.000556616,2.0
148.621,0.000556467,2.0
149.071,0.000556805,2.0
149.531,0.000556829,2.0
149.971,0.000556868,2.0
150.401,0.000556866,2.0
150.861,0.000557127,2.0
151.301,0.000557243,2.0
151.761,0.000557165,2.0
152.221,0.000557381,2.0
152.711,0.000557238,2.0
153.151,0.000557419,2.0
153.631,0.000557471,2.0
154.061,0.000557405,2.0
154.521,0.000557107,2.0
154.961,0.000557582,2.0
155.401,0.000557357,2.0
155.881,0.000557476,2.0
156.340,0.000557519,2.0
156.780,0.00055756,2.0
157.210,0.000557439,2.0
157.650,0.000557753,2.0
158.100,0.00055747,2.0
158.540,0.000557461,2.0
158.980,0.000557907,2.0
159.420,0.000557865,2.0
159.880,0.00055783,2.0
160.330,0.000557842,2.0
160.770,0.000557997,2.0
161.220,0.00055782,2.0
161.680,0.000557767,2.0
162.120,0.000557976,2.0
162.600,0.000557932,2.0
163.040,0.00055775,2.0
163.500,0.000557897,2.0
163.950,0.00055813,2.0
164.430,0.000558056,2.0
164.860,0.000557976,2.0
165.310,0.00055799,2.0
165.770,0.00055813,2.0
166.220,0.000558131,2.0
166.670,0.000558277,2.0
167.130,0.000558218,2.0
167.590,0.000558317,2.0
168.080,0.000558438,2.0
168.540,0.000558419,2.0
169.000,0.000558381,2.0
169.460,0.000558647,2.0
169.920,0.000558552,2.0
170.360,0.00055855,2.0
170.830,0.000558585,2.0
171.300,0.000558463,2.0
171.790,0.000558574,2.0
172.250,0.000558352,2.0
172.700,0.000558647,2.0
173.169,0.000558615,2.0
