'h2o_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
829.0	0.0501
830.0	0.0488
831.0	0.0476
832.0	0.0461
833.0	0.0466
834.0	0.0470
835.0	0.0473
836.0	0.0476
837.0	0.0477
838.0	0.0479
839.0	0.0481
840.0	0.0483
841.0	0.0483
842.0	0.0484
843.0	0.0485
844.0	0.0486
845.0	0.0487
846.0	0.0489
847.0	0.0491
848.0	0.0492
849.0	0.0493
850.0	0.0494
851.0	0.0495
852.0	0.0496
853.0	0.0496
854.0	0.0497
855.0	0.0498
856.0	0.0498
857.0	0.0499
858.0	0.0500
859.0	0.0501
860.0	0.0501
861.0	0.0502
862.0	0.0503
863.0	0.0504
864.0	0.0505
865.0	0.0506
866.0	0.0507
867.0	0.0508
868.0	0.0510
869.0	0.0511
870.0	0.0512
871.0	0.0513
872.0	0.0514
873.0	0.0516
874.0	0.0518
875.0	0.0521
876.0	0.0522
877.0	0.0524
878.0	0.0526
879.0	0.0529
880.0	0.0531
881.0	0.0533
882.0	0.0535
883.0	0.0537
884.0	0.0540
885.0	0.0542
886.0	0.0544
887.0	0.0546
888.0	0.0549
889.0	0.0551
890.0	0.0554
891.0	0.0556
892.0	0.0558
893.0	0.0559
894.0	0.0561
895.0	0.0563
896.0	0.0566
897.0	0.0569
898.0	0.0571
899.0	0.0572
900.0	0.0574
901.0	0.0576
902.0	0.0579
903.0	0.0582
904.0	0.0585
905.0	0.0587
906.0	0.0590
907.0	0.0593
908.0	0.0597
909.0	0.0601
910.0	0.0605
911.0	0.0608
912.0	0.0612
913.0	0.0618
914.0	0.0626
915.0	0.0631
916.0	0.0635
917.0	0.0642
918.0	0.0649
919.0	0.0659
920.0	0.0669
921.0	0.0680
922.0	0.0691
923.0	0.0703
924.0	0.0716
925.0	0.0731
926.0	0.0749
927.0	0.0766
928.0	0.0785
929.0	0.0806
930.0	0.0827
931.0	0.0850
932.0	0.0875
933.0	0.0900
934.0	0.0926
935.0	0.0954
936.0	0.0983
937.0	0.1013
938.0	0.1044
939.0	0.1075
940.0	0.1109
941.0	0.1144
942.0	0.1182
943.0	0.1221
944.0	0.1262
945.0	0.1306
946.0	0.1353
947.0	0.1404
948.0	0.1458
949.0	0.1518
950.0	0.1581
951.0	0.1649
952.0	0.1718
953.0	0.1791
954.0	0.1864
955.0	0.1934
956.0	0.1998
957.0	0.2059
958.0	0.2116
959.0	0.2166
960.0	0.2209
961.0	0.2244
962.0	0.2274
963.0	0.2298
964.0	0.2318
965.0	0.2334
966.0	0.2347
967.0	0.2357
968.0	0.2365
969.0	0.2373
970.0	0.2380
971.0	0.2386
972.0	0.2391
973.0	0.2393
974.0	0.2395
975.0	0.2397
976.0	0.2397
977.0	0.2395
978.0	0.2390
979.0	0.2386
980.0	0.2380
981.0	0.2373
982.0	0.2364
983.0	0.2353
984.0	0.2342
985.0	0.2331
986.0	0.2318
987.0	0.2305
988.0	0.2289
989.0	0.2272
990.0	0.2255
991.0	0.2237
992.0	0.2219
993.0	0.2200
994.0	0.2180
995.0	0.2159
996.0	0.2138
997.0	0.2116
998.0	0.2095
999.0	0.2072
1000.0	0.2056
