Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu2_V(1)(1),Smu2_I(1)(1),
35,10.3000001907349,5.25381439742123E-11,10,-7.04942961643473E-12,
36,10.75,5.94864019154429E-11,10,-1.27109408068482E-11,
37,11.1999998092651,6.52911405496504E-11,10,-1.75866370077937E-11,
38,11.6499996185303,7.02486610548725E-11,10,-2.24143516247555E-11,
39,12.1000003814697,7.5122026654828E-11,10,-2.74236570951825E-11,
40,12.5500001907349,8.17607648251339E-11,10,-3.42616317261513E-11,
41,13,8.83349920988152E-11,10,-4.09591215111416E-11,
42,13.4499998092651,9.92797372090237E-11,10,-5.06783365272767E-11,
43,13.8999996185303,1.1904931207507E-10,10,-7.1844329097015E-11,
44,14.3500003814697,1.5294730759674E-10,10,-9.86821457882314E-11,
45,14.8000001907349,1.88942542167503E-10,10,-1.39431466372741E-10,
46,15.25,2.48648407419338E-10,10,-1.96595420498547E-10,
47,15.6999998092651,3.07311870395566E-10,10,-2.53583182230344E-10,
48,16.1499996185303,6.54148069045846E-10,10,-5.03025732179196E-10,
49,16.6000003814697,7.55905837923621E-10,10,-5.84635229117225E-10,
50,17.0499992370605,6.57136289827776E-10,10,-5.19673470922299E-10,
51,17.5,6.34208408012427E-10,10,-5.17493325968843E-10,
52,17.9500007629395,6.9799288571204E-10,10,-5.82927706105352E-10,
53,18.3999996185303,7.72764296996797E-10,10,-6.59918508727486E-10,
54,18.8500003814697,8.31484547880734E-10,10,-7.20024928568819E-10,
55,19.2999992370605,9.46553391223404E-10,10,-8.26406942877611E-10,
56,19.75,1.06144426581523E-09,10,-9.34014754427892E-10,
57,20.2000007629395,1.22818821779447E-09,10,-1.09815712079353E-09,
58,20.6499996185303,1.37543554323827E-09,10,-1.20719079177434E-09,
59,21.1000003814697,1.49816392625013E-09,10,-1.32040256506372E-09,
60,21.5499992370605,1.60938384841103E-09,10,-1.42077682951935E-09,
61,22,1.74905179228801E-09,10,-1.55860901962512E-09,
62,22.4500007629395,1.84088710941666E-09,10,-1.64950841874401E-09,
63,22.8999996185303,1.98555594188576E-09,10,-1.79076786732679E-09,
64,23.3500003814697,2.12376827235516E-09,10,-1.92513116559212E-09,
65,23.7999992370605,2.2638082519677E-09,10,-2.06408024006066E-09,
66,24.25,2.39478348262878E-09,10,-2.18870521706549E-09,
67,24.7000007629395,2.46530063030548E-09,10,-2.25678320475708E-09,
68,25.1499996185303,2.64975907882103E-09,10,-2.43757480866691E-09,
69,25.6000003814697,2.81630274656663E-09,10,-2.59843702110629E-09,
70,26.0499992370605,3.04574365728172E-09,10,-2.82364842618676E-09,
71,26.5,3.21119197899122E-09,10,-2.98522828678927E-09,
72,26.9500007629395,3.41473938014758E-09,10,-3.18715809299874E-09,
73,27.3999996185303,3.54253759660139E-09,10,-3.31034777367734E-09,
74,27.8500003814697,3.7928855611824E-09,10,-3.5562706113268E-09,
75,28.2999992370605,3.95317334422884E-09,10,-3.71406305710309E-09,
76,28.75,4.11138545430845E-09,10,-3.86674869901071E-09,
77,29.2000007629395,4.33350555439915E-09,10,-4.08223010950337E-09,
78,29.6499996185303,4.55530990706166E-09,10,-4.29830659953723E-09,
79,30.1000003814697,4.78195438802231E-09,10,-4.52166659670183E-09,
80,30.5499992370605,5.05667463457371E-09,10,-4.78778128254476E-09,
81,31,5.26204591011492E-09,10,-4.99320851332641E-09,
82,31.4500007629395,5.63287239074839E-09,10,-5.35698996273482E-09,
83,31.8999996185303,5.90150373014353E-09,10,-5.62860735797699E-09,
84,32.3499984741211,6.21001472467242E-09,10,-5.91955062745342E-09,
85,32.7999992370605,6.61752919128844E-09,10,-6.32580254844584E-09,
86,33.25,6.87216772377042E-09,10,-6.56993526249039E-09,
87,33.7000007629395,7.11119163554486E-09,10,-6.80537448616292E-09,
88,34.1500015258789,7.78261455280926E-09,10,-7.47010719948094E-09,
89,34.5999984741211,8.02264299437638E-09,10,-7.70781483083738E-09,
90,35.0499992370605,8.8142355636478E-09,10,-8.48782644169432E-09,
91,35.5,9.57026813352968E-09,10,-9.23594711821352E-09,
92,35.9500007629395,1.22443442052145E-08,10,-1.19095924233648E-08,
93,36.4000015258789,1.36925697447055E-08,10,-1.30717161539451E-08,
94,36.8499984741211,1.38979201480538E-08,10,-1.32615927128654E-08,
95,37.2999992370605,1.4837884698693E-08,10,-1.41812321885482E-08,
96,37.75,1.58902651037351E-08,10,-1.52163508460035E-08,
97,38.2000007629395,1.72955516575257E-08,10,-1.66331055595492E-08,
98,38.6500015258789,1.87438136123319E-08,10,-1.80419092998818E-08,
99,39.0999984741211,2.00075511713749E-08,10,-1.93116900248924E-08,
100,39.5499992370605,2.15180762097589E-08,10,-2.08147401536962E-08,
101,40,2.18180780109378E-08,10,-2.11233981417536E-08,
